"Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>","De Klarna Checkout kan niet worden geladen. Laad de checkout <a href=""javascript:;"" onclick=""location.reload(true)"">opnieuw.</a>"
"Order total does not match for order #%1. Klarna total is %2 vs Magento total %3","Het totaalbedrag van deze bestelling komt niet overeen met bestelling #%1. Klarna's totaalbedrag is %2 - Magento totaalbedrag is %3"
"Unable to process order. Please try again","We konden deze bestelling niet verwerken. Probeer het opnieuw. "
"Order already exist.","Deze bestelling bestaat al."
"Unable to complete order. Please try again","We konden deze bestelling niet afronden. Probeer het opnieuw. "
"Klarna Checkout","Klarna Checkout"
"Unable to initialize Klarna checkout order","Niet mogelijk om de Klarna-checkout bestelling te initialiseren"
"Unable to initialize Klarna checkout order. Klarna api error: %1","Niet mogelijk om de Klarna-checkout bestelling te initialiseren. Klarna api foutmelding: %1"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Er is al een account met dit e-mailadres. Meld je aan met dit e-mailadres of vul een ander e-mailadres in om je account te registreren."
"Invalid checkout type.","Ongeldig type checkout. "
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, gast checkout is niet ingeschakeld. Probeer het opnieuw of neem contact op met de eigenaar van de winkel."
"Customer Address is not valid.","Ongeldig klantadres."
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Sorry, but administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, maar de beheerder heeft deze gastaanmelding afgewezen. <a href=""%1"">Registreer hier</a>."
"Confirmation request has been sent.","Bevestigingsverzoek is verzonden."
"Thank you for your subscription.","Bedankt voor je aanmelding."
"There was a problem with the subscription: %1","Er is een probleem met je aanmelding: %1"
"There was a problem with the subscription.","Er is een probleem met je aanmelding."
"Shipping Countries","Verzenden naar volgende landen"
"Supported shipping countries for Klarna.","Verzenden naar volgende landen is mogelijk met Klarna."
"Disable Klarna for specific customer groups","Zet Klarna uit voor specifieke klant groepen"
"Selected groups will see standard checkout instead of Klarna checkout.","Geselecteerde groepen zien een standaard checkout in plaats van de Klarna-checkout."
"External Payment Methods","Externe betaalmethodes"
"Merchant Checkbox","Webwinkel selectievakje"
